Test ID,Stage,Type,Target Field,Event,Place Type,Sit. Type,Data Source,event_site.city,event_site.country,Loading Site,Delivery Site,Expected Result,Fields That MAP,Fields That DO NOT MAP,What Was Sent Wrong,Notes
DS-POL-E-01,POL,Edge Case,leg1Mot none transport_mode absent,container_loaded,loading,actual,null,Shanghai,CN,CNSHA,NLRTM,PASS (blocked),actualLoadPol | leg1VesselImoNumber | leg1VesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,leg1Mot,situation.transport_mode field missing from payload,leg1Mot condition: transport_mode present none fails when transport_mode omitted
DS-POL-E-02,POL,Edge Case,leg1VesselImoNumber maps but leg1VesselName absent,container_loaded,loading,actual,null,Shanghai,CN,CNSHA,NLRTM,PASS,actualLoadPol | leg1Mot | leg1VesselImoNumber | carrierUpdatedLocodePol | carrierUpdatedLocodePod,leg1VesselName,Vessel resource has IMO but no LABEL identifier,IMO condition satisfied; LABEL condition fails none each maps independently
DS-POD-P-01,POD,Positive,actualArrivalPod + trackingArrivingVesselImo + trackingArrivingVesselVesselName,container_arrived,discharge,actual,null,Rotterdam,NL,CNSHA,NLRTM,PASS,actualArrivalPod | trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedArrivalPod | actualDischargePod,none,container_arrived + discharge + actual; vessel fields update on arrived event
DS-POD-P-02,POD,Positive,estimatedArrivalPod + trackingArrivingVesselImo,eta_event,discharge,estimated,external,Rotterdam,NL,CNSHA,NLRTM,PASS,estimatedArrivalPod | trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,predictedArrivalPod | actualArrivalPod,none,eta_event + discharge + estimated + DS=external
DS-POD-P-03,POD,Positive,predictedArrivalPod + trackingArrivingVesselImo,eta_event,discharge,estimated,shippeo,Rotterdam,NL,CNSHA,NLRTM,PASS,predictedArrivalPod | trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedArrivalPod | actualArrivalPod,none,eta_event + discharge + estimated + DS=shippeo
DS-POD-P-04,POD,Positive,actualDischargePod + trackingArrivingVesselImo,container_unloaded,discharge,actual,null,Rotterdam,NL,CNSHA,NLRTM,PASS,actualDischargePod | trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedDischargePod | predictedDischargePod,none,container_unloaded + discharge + actual
DS-POD-P-05,POD,Positive,estimatedDischargePod,container_unloaded,discharge,estimated,external,Rotterdam,NL,CNSHA,NLRTM,PASS,estimatedDischargePod | trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualDischargePod | predictedDischargePod,none,estimated + DS=external; vessel still maps (no DS condition)
DS-POD-P-06,POD,Positive,predictedDischargePod,container_unloaded,discharge,estimated,shippeo,Rotterdam,NL,CNSHA,NLRTM,PASS,predictedDischargePod | trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualDischargePod | estimatedDischargePod,none,estimated + DS=shippeo
DS-POD-P-07,POD,Positive,actualGateOutPod + motGateOutPod,container_gate_out_full,discharge,actual,null,Rotterdam,NL,CNSHA,NLRTM,PASS,actualGateOutPod | motGateOutPod | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedGateOutPod | predictedGateOutPod,none,motGateOutPod has no DS/type condition none maps regardless of type
DS-POD-P-08,POD,Positive,estimatedGateOutPod + motGateOutPod,container_gate_out_full,discharge,estimated,external,Rotterdam,NL,CNSHA,NLRTM,PASS,estimatedGateOutPod | motGateOutPod | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateOutPod | predictedGateOutPod,none,motGateOutPod still maps even for estimated none no DS/type condition on it
DS-POD-P-09,POD,Positive,predictedGateOutPod + motGateOutPod,container_gate_out_full,discharge,estimated,shippeo,Rotterdam,NL,CNSHA,NLRTM,PASS,predictedGateOutPod | motGateOutPod | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateOutPod | estimatedGateOutPod,none,DS=shippeo; motGateOutPod maps for any type
DS-POD-P-10,POD,Positive,actualEmptyReturn + motEmptyReturn,container_gate_in_empty,discharge,actual,null,Rotterdam,NL,CNSHA,NLRTM,PASS,actualEmptyReturn | motEmptyReturn | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedEmptyReturn,none,motEmptyReturn has no DS/type condition
DS-POD-P-11,POD,Positive,estimatedEmptyReturn + motEmptyReturn,container_gate_in_empty,discharge,estimated,external,Rotterdam,NL,CNSHA,NLRTM,PASS,estimatedEmptyReturn | motEmptyReturn | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualEmptyReturn,none,motEmptyReturn still maps even for estimated
DS-POD-N-01,POD,Negative,actualArrivalPod none wrong type,container_arrived,discharge,estimated,null,Rotterdam,NL,CNSHA,NLRTM,PASS (blocked),trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualArrivalPod | estimatedArrivalPod,type=estimated (requires actual) + DS=null; no estimatedArrivalPod for container_arrived event (only eta_event),Vessel still maps none no type/DS condition; container_arrived has no estimated date field
DS-POD-N-02,POD,Negative,estimatedArrivalPod none wrong DS,eta_event,discharge,estimated,carrier,Rotterdam,NL,CNSHA,NLRTM,PASS (blocked),trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedArrivalPod | predictedArrivalPod | actualArrivalPod,DS=carrier (requires external for estimated; requires shippeo for predicted; actual blocked by type),All 3 arrival date variants blocked; vessel still maps
DS-POD-N-03,POD,Negative,actualDischargePod none wrong type,container_unloaded,discharge,estimated,null,Rotterdam,NL,CNSHA,NLRTM,PASS (blocked),trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualDischargePod | estimatedDischargePod | predictedDischargePod,type=estimated + DS=null blocks all 3 discharge date variants,Vessel still maps none no type/DS condition on trackingArrivingVessel
DS-POD-N-04,POD,Negative,estimatedDischargePod none wrong DS,container_unloaded,discharge,estimated,carrier,Rotterdam,NL,CNSHA,NLRTM,PASS (blocked),trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedDischargePod | predictedDischargePod | actualDischargePod,DS=carrier (requires external or shippeo); type=estimated blocks actual,All 3 discharge date variants blocked
DS-POD-N-05,POD,Negative,actualGateOutPod none wrong type,container_gate_out_full,discharge,estimated,null,Rotterdam,NL,CNSHA,NLRTM,PASS (blocked),motGateOutPod | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateOutPod | estimatedGateOutPod | predictedGateOutPod,type=estimated + DS=null blocks all 3 gate-out date variants,motGateOutPod still maps none no DS/type condition on mot fields
DS-POD-N-06,POD,Negative,actualEmptyReturn none wrong type,container_gate_in_empty,discharge,estimated,null,Rotterdam,NL,CNSHA,NLRTM,PASS (blocked),motEmptyReturn | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualEmptyReturn | estimatedEmptyReturn,type=estimated + DS=null blocks both date variants,motEmptyReturn still maps none no type/DS condition
DS-POD-N-07,POD,Negative,trackingArrivingVesselImo none no vessel in payload,container_arrived,discharge,actual,null,Rotterdam,NL,CNSHA,NLRTM,PASS (blocked),actualArrivalPod | carrierUpdatedLocodePol | carrierUpdatedLocodePod,trackingArrivingVesselImo | trackingArrivingVesselVesselName,No milestoneVessel resource in payload,actualArrivalPod maps (no vessel condition); vessel fields need milestoneVessel present
DS-POD-E-01,POD,Edge Case,motGateOutPod maps for actual estimated and shippeo,container_gate_out_full,discharge,estimated,shippeo,Rotterdam,NL,CNSHA,NLRTM,PASS,predictedGateOutPod | motGateOutPod | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualGateOutPod | estimatedGateOutPod,none,motGateOutPod has no DS/type condition none maps regardless; test with shippeo to confirm
DS-POD-E-02,POD,Edge Case,trackingArrivingVessel updated by all 3 events independently,container_unloaded,discharge,actual,null,Rotterdam,NL,CNSHA,NLRTM,PASS,actualDischargePod | trackingArrivingVesselImo | trackingArrivingVesselVesselName,none,none,Send container_unloaded after eta_event and container_arrived none vessel fields reflect latest event's vessel
DS-DEL-P-01,Delivery,Positive,actualArrivalDestination + destinationCity + destinationCountry,container_arrived,destination_inland_location,actual,null,Duisburg,DE,CNSHA,NLRTM,PASS,actualArrivalDestination | destinationCity | destinationCountry | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedArrivalDestination | actualArrivalPod,none,container_arrived + destination_inland + actual; city and country also map (no type/DS condition)
DS-DEL-P-02,Delivery,Positive,estimatedArrivalDestination + destinationCity + destinationCountry,container_arrived,destination_inland_location,estimated,external,Brussels,BE,CNSHA,BEANR,PASS,estimatedArrivalDestination | destinationCity | destinationCountry | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualArrivalDestination,none,city and country map even for estimated none no type/DS condition on location fields
DS-DEL-N-01,Delivery,Negative,actualArrivalDestination none wrong type,container_arrived,destination_inland_location,estimated,null,Duisburg,DE,CNSHA,NLRTM,PASS (blocked),destinationCity | destinationCountry | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualArrivalDestination | estimatedArrivalDestination,type=estimated (requires actual) + DS=null (blocks estimated too),destinationCity and destinationCountry still map none no type/DS condition on location fields
DS-DEL-N-02,Delivery,Negative,estimatedArrivalDestination none wrong DS,container_arrived,destination_inland_location,estimated,carrier,Duisburg,DE,CNSHA,NLRTM,PASS (blocked),destinationCity | destinationCountry | carrierUpdatedLocodePol | carrierUpdatedLocodePod,estimatedArrivalDestination | actualArrivalDestination,DS=carrier (requires external); type=estimated blocks actual,Location fields still map regardless
DS-DEL-N-03,Delivery,Negative,actualArrivalDestination none wrong place_type,container_arrived,discharge,actual,null,Rotterdam,NL,CNSHA,NLRTM,PASS (blocked),actualArrivalPod | trackingArrivingVesselImo | trackingArrivingVesselVesselName | carrierUpdatedLocodePol | carrierUpdatedLocodePod,actualArrivalDestination | destinationCity | destinationCountry,place_type=discharge (requires destination_inland_location),actualArrivalPod maps instead none container_arrived + discharge + actual is its condition
DS-DEL-N-04,Delivery,Negative,destinationCity none null city,container_arrived,destination_inland_location,actual,null,null,DE,CNSHA,NLRTM,PASS (blocked),actualArrivalDestination | destinationCountry | carrierUpdatedLocodePol | carrierUpdatedLocodePod,destinationCity,event_site.city=null (condition: city must be present),actualArrivalDestination still maps none city is not its condition
DS-DEL-N-05,Delivery,Negative,destinationCountry none null country,container_arrived,destination_inland_location,actual,null,Duisburg,null,CNSHA,NLRTM,PASS (blocked),actualArrivalDestination | destinationCity | carrierUpdatedLocodePol | carrierUpdatedLocodePod,destinationCountry,event_site.country=null (condition: country must be present),actualArrivalDestination still maps none country is not its condition
DS-AO-P-01,Always-On,Positive,carrierUpdatedLocodePol,container_gate_out_empty,origin_inland_location,actual,null,Suzhou,CN,CNSHA,NLRTM,PASS,carrierUpdatedLocodePol=CNSHA | actualGateOutEmptyDepot | depotPreLocation | depotPreCountry | motGateOutEmpty,none,none,loading_site.unlocode present none maps on every event regardless of stage type or DS
DS-AO-P-02,Always-On,Positive,carrierUpdatedLocodePod,container_gate_out_empty,origin_inland_location,actual,null,Suzhou,CN,CNSHA,NLRTM,PASS,carrierUpdatedLocodePod=NLRTM | actualGateOutEmptyDepot | depotPreLocation | depotPreCountry | motGateOutEmpty,none,none,delivery_site.unlocode present none maps on every event
DS-AO-N-01,Always-On,Negative,carrierUpdatedLocodePol none no loading_site,container_gate_out_empty,origin_inland_location,actual,null,Suzhou,CN,null,NLRTM,PASS (blocked),actualGateOutEmptyDepot | depotPreLocation | depotPreCountry | motGateOutEmpty | carrierUpdatedLocodePod,carrierUpdatedLocodePol,loading_site omitted from payload (condition: loading_site.unlocode present),carrierUpdatedLocodePod still maps because delivery_site is present
DS-AO-N-02,Always-On,Negative,carrierUpdatedLocodePod none no delivery_site,container_gate_out_empty,origin_inland_location,actual,null,Suzhou,CN,CNSHA,null,PASS (blocked),actualGateOutEmptyDepot | depotPreLocation | depotPreCountry | motGateOutEmpty | carrierUpdatedLocodePol,carrierUpdatedLocodePod,delivery_site omitted from payload (condition: delivery_site.unlocode present),carrierUpdatedLocodePol still maps because loading_site is present
DS-AO-E-01,Always-On,Edge Case,carrierUpdatedLocodePol changes between events,container_departed,loading,actual,null,Shanghai,CN,CNSHA,NLRTM,PASS,carrierUpdatedLocodePol=CNSHA (updated) | actualDeparturePol | carrierUpdatedLocodePod,none,none,Port correction: loading_site changes from CNNGB to CNSHA none carrierUpdatedLocodePol reflects latest value
