TC ID,Tab,Type,Sub-Type,Webhook Event,Event Site,ATU Fields Written,Expected Value,Condition / Why it blocks,Pass Criteria
LS-N-01,Loading Site,Negative,T5,manifested (event_site = unknown airport),XYZ / XX,N/A no field written N/A,ATU unchanged,event_site matches neither loadingSite / deliverySite / any hub -> no prefix resolved,loadingManifestedDate unchanged
LS-N-02,Loading Site,Negative,N/A,goods_loading_invalid_event (not in mapping table),BLR / IN,N/A no field written N/A,ATU unchanged,Unknown event name -> backend discards payload,ATU lastChangedAt unchanged
LS-N-03,Loading Site,Negative,T2,received_from_shipper,BLR / IN,N/A no field written N/A,ATU unchanged,order.client_reference = wrong value -> no ATU matched,receivedFromShipperDate unchanged
LS-N-04,Loading Site,Negative,Auth,received_from_shipper,BLR / IN,N/A no field written N/A,HTTP 401,Authorization header absent from request,Webhook response status = 401
LS-N-05,Loading Site,Negative,Auth,received_from_shipper,BLR / IN,N/A no field written N/A,HTTP 401,"Authorization: Bearer invalid_token_abc",Webhook response status = 401
LS-E-01,Loading Site,Edge,T2,"received_from_shipper (2nd send, new date)",BLR / IN,receivedFromShipperDate,New date (overwrite),Field already has a value from a prior send,Date overwritten; latest sent value in field
LS-E-02,Loading Site,Edge,T3,goods_loading_non_compliant_oversize (different suffix from prior T3 send),BLR / IN,loadingNonCompliantDate | loadingNonCompliantJustification,"New date + ""oversize""",Different suffix to prior T3 send for same base event,Both date and justification updated to new values
LS-E-03,Loading Site,Edge,T2,"goods_loading_compliant_compliant (situation_code = null, justification_code = null)",BLR / IN,loadingCompliantDate,Date written; SC + JC = null,Payload omits situation_code and justification_code,loadingCompliantDate set; SituationCode + JustificationCode remain null
DS-P-01,Delivery Site,Positive,T2,goods_arrived_at_delivery_arrived,BOM / IN,deliveryArrivedDate,situation.date,N/A,deliveryArrivedDate = sent ISO date
DS-P-02,Delivery Site,Positive,T2,goods_left_delivery_left,BOM / IN,deliveryLeftDate,situation.date,N/A,deliveryLeftDate = sent ISO date
DS-P-03,Delivery Site,Positive,T2,goods_delivery_compliant_compliant (also writes order fields),BOM / IN,"deliveryCompliantDate | deliveryCompliantSituationCode | deliveryCompliantJustificationCode | orderReference | orderUrl",Date + SC + JC + order.reference + order.url,N/A,All 5 fields written from payload
DS-P-04,Delivery Site,Positive,T2,documentation_delivered,BOM / IN,documentationDeliveredDate,situation.date,N/A,documentationDeliveredDate = sent ISO date
DS-P-05,Delivery Site,Positive,T2,consignee_notified,BOM / IN,consigneeNotifiedDate,situation.date,N/A,consigneeNotifiedDate = sent ISO date
DS-P-06,Delivery Site,Positive,T3,"goods_delivery_non_compliant_pilferage (suffix -> ""pilferage"")",BOM / IN,deliveryNonCompliantDate | deliveryNonCompliantJustification,"situation.date + ""pilferage""",N/A,"Date written; justification = ""pilferage"""
DS-P-07,Delivery Site,Positive,T3,"goods_delivery_non_realised_recipient_closed (suffix -> ""recipient_closed"")",BOM / IN,deliveryNonRealisedDate | deliveryNonRealisedJustification,"situation.date + ""recipient_closed""",N/A,"Date written; justification = ""recipient_closed"""
DS-P-08,Delivery Site,Positive,T3,"goods_delivery_refused_not_ordered (suffix -> ""not_ordered"")",BOM / IN,deliveryRefusedDate | deliveryRefusedJustification,"situation.date + ""not_ordered""",N/A,"Date written; justification = ""not_ordered"""
DS-P-09,Delivery Site,Positive,T5,"manifested (event_site = BOM/IN -> ""delivery"" prefix)",BOM / IN,deliveryManifestedDate,situation.date,N/A,event_site matches deliverySiteIata+Country -> deliveryManifestedDate set
DS-P-10,Delivery Site,Positive,T5,"eta_event (event_site = BOM/IN -> ""delivery"" prefix)",BOM / IN,deliveryETADate,situation.date,N/A,deliveryETADate = sent date
DS-P-11,Delivery Site,Positive,T5,"received_from_flight (event_site = BOM/IN -> ""delivery"" prefix)",BOM / IN,deliveryReceivedFromFlightDate,situation.date,N/A,deliveryReceivedFromFlightDate = sent date
DS-N-01,Delivery Site,Negative,T5,manifested (event_site = unknown airport),XYZ / XX,N/A no field written N/A,ATU unchanged,event_site matches no known site -> no prefix resolved,deliveryManifestedDate unchanged
DS-N-02,Delivery Site,Negative,N/A,goods_delivery_invalid_event (not in mapping table),BOM / IN,N/A no field written N/A,ATU unchanged,Unknown event name -> backend discards payload,ATU lastChangedAt unchanged
DS-N-03,Delivery Site,Negative,T2,goods_arrived_at_delivery_arrived,BOM / IN,N/A no field written N/A,ATU unchanged,order.client_reference = wrong value -> no ATU matched,deliveryArrivedDate unchanged
DS-N-04,Delivery Site,Negative,Auth,goods_arrived_at_delivery_arrived,BOM / IN,N/A no field written N/A,HTTP 401,Authorization header absent,Webhook response status = 401
DS-N-05,Delivery Site,Negative,Auth,goods_arrived_at_delivery_arrived,BOM / IN,N/A no field written N/A,HTTP 401,"Authorization: Bearer invalid_token",Webhook response status = 401
DS-E-01,Delivery Site,Edge,T2,"goods_arrived_at_delivery_arrived (2nd send, new date)",BOM / IN,deliveryArrivedDate,New date (overwrite),Field already populated from prior send,Date overwritten; latest sent value in field
DS-E-02,Delivery Site,Edge,T3,"goods_delivery_non_compliant_theft (suffix -> ""theft"", different from prior send)",BOM / IN,deliveryNonCompliantDate | deliveryNonCompliantJustification,"New date + ""theft""",Different suffix to previous T3 send for same base event,"Both fields updated; justification = ""theft"""
DS-E-03,Delivery Site,Edge,T2,"goods_delivery_compliant_compliant (situation_code = null, justification_code = null)",BOM / IN,deliveryCompliantDate,Date written; SC + JC = null,Payload sends null for situation_code and justification_code,deliveryCompliantDate set; SC and JC remain null
HUB-P-01,Hub Events,Positive,T4,goods_arrived_at_hub_arrived,Stop 1 / random IATA,"hubArrivedDate_stop1 | hubSiteDescription_stop1 | hubSiteIata_stop1 | hubSiteAddressLine_stop1 | hubSiteCity_stop1 | hubSiteZipcode_stop1 | hubSiteCountry_stop1",situation.date + all 6 hub site fields from event_site,N/A,"Stop 1 claimed; 7 fields written (date + 6 site fields)"
HUB-P-02,Hub Events,Positive,T4,goods_left_hub_left,Stop 1 / same IATA as P-01,hubLeftDate_stop1,situation.date,Slot 1 already assigned from P-01,hubLeftDate_stop1 = sent date
HUB-P-03,Hub Events,Positive,T4,goods_arrived_at_hub_arrived,Stop 2 / random IATA,"hubArrivedDate_stop2 | hubSiteDescription_stop2 | hubSiteIata_stop2 | hubSiteAddressLine_stop2 | hubSiteCity_stop2 | hubSiteZipcode_stop2 | hubSiteCountry_stop2",situation.date + 6 hub site fields,N/A,Stop 2 claimed; 7 fields written
HUB-P-04,Hub Events,Positive,T4,goods_left_hub_left,Stop 2 / same IATA as P-03,hubLeftDate_stop2,situation.date,N/A,hubLeftDate_stop2 = sent date
HUB-P-05,Hub Events,Positive,T4,goods_arrived_at_hub_arrived,Stop 3 / random IATA,"hubArrivedDate_stop3 | hubSiteDescription_stop3 | hubSiteIata_stop3 | hubSiteAddressLine_stop3 | hubSiteCity_stop3 | hubSiteZipcode_stop3 | hubSiteCountry_stop3",situation.date + 6 hub site fields,N/A,Stop 3 claimed; 7 fields written
HUB-P-06,Hub Events,Positive,T4,goods_left_hub_left,Stop 3 / same IATA as P-05,hubLeftDate_stop3,situation.date,N/A,hubLeftDate_stop3 = sent date
HUB-P-07,Hub Events,Positive,T4,goods_arrived_at_hub_arrived,Stop 4 / random IATA,"hubArrivedDate_stop4 | hubSiteDescription_stop4 | hubSiteIata_stop4 | hubSiteAddressLine_stop4 | hubSiteCity_stop4 | hubSiteZipcode_stop4 | hubSiteCountry_stop4",situation.date + 6 hub site fields,N/A,Stop 4 claimed; 7 fields written
HUB-P-08,Hub Events,Positive,T4,goods_left_hub_left,Stop 4 / same IATA as P-07,hubLeftDate_stop4,situation.date,N/A,hubLeftDate_stop4 = sent date
HUB-P-09,Hub Events,Positive,T4 OR,"goods_arrived_at_delivery_hub_arrived (OR-alias -> same field as goods_arrived_at_hub_arrived)",Stop 1 / same IATA as P-01,hubArrivedDate_stop1,situation.date (overwrites P-01 date),N/A,OR alias maps to hubArrivedDate_stop1; date updated
HUB-P-10,Hub Events,Positive,T4 OR,"goods_left_delivery_hub_left (OR-alias -> same field as goods_left_hub_left)",Stop 1 / same IATA as P-01,hubLeftDate_stop1,situation.date,N/A,OR alias maps to hubLeftDate_stop1
HUB-P-11,Hub Events,Positive,T5,manifested (event_site != loading/delivery -> hub prefix),Stop 1 / same IATA as P-01,hubManifestedDate_stop1,situation.date,N/A,T5 routing: no loading/delivery match -> hub + stop1 resolved; date set
HUB-P-12,Hub Events,Positive,T5,eta_event,Stop 1 / same IATA as P-01,hubETADate_stop1,situation.date,N/A,hubETADate_stop1 = sent date
HUB-P-13,Hub Events,Positive,T5,received_from_flight,Stop 1 / same IATA as P-01,hubReceivedFromFlightDate_stop1,situation.date,N/A,hubReceivedFromFlightDate_stop1 = sent date
HUB-P-14,Hub Events,Positive,T5,manifested,Stop 2 / same IATA as P-03,hubManifestedDate_stop2,situation.date,N/A,hubManifestedDate_stop2 = sent date
HUB-P-15,Hub Events,Positive,T5,eta_event,Stop 2 / same IATA as P-03,hubETADate_stop2,situation.date,N/A,hubETADate_stop2 = sent date
HUB-P-16,Hub Events,Positive,T5,received_from_flight,Stop 2 / same IATA as P-03,hubReceivedFromFlightDate_stop2,situation.date,N/A,hubReceivedFromFlightDate_stop2 = sent date
HUB-P-17,Hub Events,Positive,T5,manifested,Stop 3 / same IATA as P-05,hubManifestedDate_stop3,situation.date,N/A,hubManifestedDate_stop3 = sent date
HUB-P-18,Hub Events,Positive,T5,eta_event,Stop 3 / same IATA as P-05,hubETADate_stop3,situation.date,N/A,hubETADate_stop3 = sent date
HUB-P-19,Hub Events,Positive,T5,received_from_flight,Stop 3 / same IATA as P-05,hubReceivedFromFlightDate_stop3,situation.date,N/A,hubReceivedFromFlightDate_stop3 = sent date
HUB-P-20,Hub Events,Positive,T5,manifested,Stop 4 / same IATA as P-07,hubManifestedDate_stop4,situation.date,N/A,hubManifestedDate_stop4 = sent date
HUB-P-21,Hub Events,Positive,T5,eta_event,Stop 4 / same IATA as P-07,hubETADate_stop4,situation.date,N/A,hubETADate_stop4 = sent date
HUB-P-22,Hub Events,Positive,T5,received_from_flight,Stop 4 / same IATA as P-07,hubReceivedFromFlightDate_stop4,situation.date,N/A,hubReceivedFromFlightDate_stop4 = sent date
HUB-N-01,Hub Events,Negative,T4 Overflow,"goods_arrived_at_hub_arrived (5th unique hub, all slots full)",5th Hub / unique IATA,N/A no field written N/A,ATU unchanged,All 4 stops occupied; resolveHubSlot() returns null for 5th unique IATA+country,No new hubArrivedDate or hub site fields created
HUB-N-02,Hub Events,Negative,T5 Overflow,"manifested (5th unique hub, slots full)",5th Hub / unique IATA,N/A no field written N/A,ATU unchanged,T5 falls back to hub prefix but resolveHubSlot() returns null -> no slot -> no field,No hubManifestedDate_stopN written
HUB-N-03,Hub Events,Negative,T4,goods_arrived_at_hub_arrived,Stop 1 / any hub,N/A no field written N/A,ATU unchanged,order.client_reference = wrong value -> no ATU matched,hubArrivedDate_stop1 unchanged
HUB-N-04,Hub Events,Negative,Auth,goods_arrived_at_hub_arrived,Stop 1 / any hub,N/A no field written N/A,HTTP 401,Authorization header absent,Webhook response status = 401
HUB-N-05,Hub Events,Negative,Auth,goods_arrived_at_hub_arrived,Stop 1 / any hub,N/A no field written N/A,HTTP 401,"Authorization: Bearer invalid_token",Webhook response status = 401
HUB-N-06,Hub Events,Negative,N/A,goods_hub_invalid_event (not in mapping table),Stop 1 / any hub,N/A no field written N/A,ATU unchanged,Unknown event name -> backend discards payload,ATU lastChangedAt unchanged
HUB-E-01,Hub Events,Edge,T4,"goods_arrived_at_hub_arrived (2nd send, same IATA+country as Stop 1)",Stop 1 / same IATA as P-01,hubArrivedDate_stop1,"New date; stop2 stays null",IATA+country already in stop1 -> slot REUSED; stop2 must NOT be created,hubArrivedDate_stop1 updated; hubSiteIata_stop2 still null
HUB-E-02,Hub Events,Edge,T4,goods_arrived -> goods_left same hub (sequential events),Stop N / same IATA both sends,hubArrivedDate_stopN | hubLeftDate_stopN,Both dates in the same stopN slot,Two events for same hub IATA+country -> same slot resolved both times,Both arrived and left dates written under the same stopN
HUB-E-03,Hub Events,Edge,T4 OR,goods_arrived_at_delivery_hub_arrived -> goods_arrived_at_hub_arrived (both OR-aliases same hub),Stop 1 / same IATA,hubArrivedDate_stop1,2nd write overwrites 1st (latest date wins),Both OR-condition aliases target the same hubArrivedDate_stopN field,hubArrivedDate_stop1 holds the latest sent date
HUB-E-04,Hub Events,Edge,T4+T5,goods_arrived_at_hub_arrived -> manifested same hub (T4 then T5),Stop 1 / same IATA,hubArrivedDate_stop1 | hubManifestedDate_stop1,Two distinct date fields both in stop1,T4 creates stop1; T5 resolves the same slot by IATA+country match,Both hubArrivedDate_stop1 AND hubManifestedDate_stop1 populated
HUB-E-05,Hub Events,Edge,T5 first,"manifested (T5 is FIRST event for this hub, no prior T4)",Stop N / new hub IATA,"hubManifestedDate_stopN | hubSiteDescription_stopN | hubSiteIata_stopN | hubSiteAddressLine_stopN | hubSiteCity_stopN | hubSiteZipcode_stopN | hubSiteCountry_stopN",Date + all 6 hub site fields (T5 creates the slot),T5 for a hub no prior event has touched -> slot must be created on first T5 event,Slot claimed; hubManifestedDate_stopN + site fields written (T5 can create slots)
