Test ID,Stage,Test Name,Shippeo Event Sent,Place Type (Journey Stage),Situation Type,Data Source,Logward Field Being Tested,Value Read From,Test Type,Expected Result,Simple Explanation
POL-04,Port of Loading,Estimated gate-in at POL from container_gate_out_full,container_gate_out_full,Port of Loading,Estimated,External (Carrier),estimatedGateInPol,situation.date,Positive,estimatedGateInPol = sent date,Carrier's estimated gate-in date at POL
POL-05,Port of Loading,Estimated gate-in at POL from container_arrived,container_arrived,Port of Loading,Estimated,External (Carrier),estimatedGateInPol,situation.date,Positive,estimatedGateInPol = sent date,All three events also work for estimated gate-in
POL-06,Port of Loading,Estimated gate-in at POL from container_gate_in_full,container_gate_in_full,Port of Loading,Estimated,External (Carrier),estimatedGateInPol,situation.date,Positive,estimatedGateInPol = sent date,Third event for estimated gate-in
POL-07,Port of Loading,container_gate_out_full at discharge does NOT write POL gate-in,container_gate_out_full,Port of Discharge,Actual,Any,actualGateInPol,—,Negative,actualGateInPol NOT updated,Only loading place_type triggers POL gate-in mapping
POL-08,Port of Loading,container_arrived at origin depot does NOT write POL gate-in,container_arrived,Origin Depot,Actual,Any,actualGateInPol,—,Negative,actualGateInPol NOT updated,Wrong place_type — no POL mapping fires
POL-09,Port of Loading,Estimated gate-in with Shippeo data source does NOT write estimatedGateInPol,container_gate_out_full,Port of Loading,Estimated,Shippeo (Platform),estimatedGateInPol,—,Negative,estimatedGateInPol NOT updated,Only external (carrier) data source maps to estimated gate-in
POL-10,Port of Loading,Actual loading at POL recorded,container_loaded,Port of Loading,Actual,Any,actualLoadPol,situation.date,Positive,actualLoadPol = sent date,Records when the container was loaded onto the vessel at POL
POL-11,Port of Loading,Estimated loading at POL recorded,container_loaded,Port of Loading,Estimated,External (Carrier),estimatedLoadPol,situation.date,Positive,estimatedLoadPol = sent date,Carrier's estimated loading date at POL
POL-12,Port of Loading,container_loaded at POL with Shippeo data source does NOT write estimatedLoadPol,container_loaded,Port of Loading,Estimated,Shippeo (Platform),estimatedLoadPol,—,Negative,estimatedLoadPol NOT updated,Shippeo-sourced estimates not mapped to this field
POL-13,Port of Loading,Actual load date written even when no vessel resources in payload,container_loaded,Port of Loading,Actual,Any,actualLoadPol,situation.date,Edge Case,actualLoadPol = sent date — vessel fields null,Date field is independent of vessel — load date should still be written
POL-14,Port of Loading,Actual departure from POL recorded,container_departed,Port of Loading,Actual,Any,actualDeparturePol,situation.date,Positive,actualDeparturePol = sent date,Records when the vessel departed from the Port of Loading
POL-15,Port of Loading,Estimated departure from POL (carrier estimate),container_departed,Port of Loading,Estimated,External (Carrier),estimatedDeparturePol,situation.date,Positive,estimatedDeparturePol = sent date,Carrier's estimated vessel departure date from POL
POL-16,Port of Loading,Predicted departure from POL (Shippeo prediction),container_departed,Port of Loading,Estimated,Shippeo (Platform),predictedDeparturePol,situation.date,Positive,predictedDeparturePol = sent date,Shippeo's own prediction for vessel departure — different field from estimated
POL-17,Port of Loading,All three departure fields coexist independently on the shipment,container_departed,Port of Loading,Estimated,Shippeo (Platform),actualDeparturePol + estimatedDeparturePol + predictedDeparturePol,situation.date,Positive,All three fields hold their respective dates,Actual estimated and predicted are stored in separate fields and don't overwrite each other
POL-18,Port of Loading,Shippeo data source does NOT write to estimatedDeparturePol,container_departed,Port of Loading,Estimated,Shippeo (Platform),estimatedDeparturePol,—,Negative,estimatedDeparturePol NOT updated — only predictedDeparturePol updated,Shippeo-sourced events go to 'predicted' fields not 'estimated' fields
POL-19,Port of Loading,External data source does NOT write to predictedDeparturePol,container_departed,Port of Loading,Estimated,External (Carrier),predictedDeparturePol,—,Negative,predictedDeparturePol NOT updated — only estimatedDeparturePol updated,External (carrier) data goes to 'estimated' fields not 'predicted' fields
POL-20,Port of Loading,Leg 1 vessel IMO written when container_loaded at POL with transhipment,container_loaded,Port of Loading,Actual,Any,leg1VesselImoNumber,resources[milestoneVessel].identifiers[IMO].value,Positive,leg1VesselImoNumber = vessel IMO number,On transhipment routes the first vessel's IMO is recorded on leg 1
POL-21,Port of Loading,Leg 1 vessel name written when container_loaded at POL with transhipment,container_loaded,Port of Loading,Actual,Any,leg1VesselName,resources[milestoneVessel].identifiers[LABEL].value,Positive,leg1VesselName = vessel name,On transhipment routes the first vessel name is recorded on leg 1
POL-22,Port of Loading,Leg 1 MOT written when container_loaded at POL with transhipment,container_loaded,Port of Loading,Actual,Any,leg1Mot,situation.transport_mode,Positive,leg1Mot = ocean,Mode of transport for the first vessel leg is recorded
POL-23,Port of Loading,Leg 1 fields also written from container_departed at POL with transhipment,container_departed,Port of Loading,Actual,Any,leg1VesselImoNumber + leg1VesselName + leg1Mot,resources + transport_mode,Positive,All leg1 fields written,Departure event also populates leg 1 vessel information on transhipment routes
POL-24,Port of Loading,Leg 1 vessel is null when no milestoneVessel in resources,container_loaded,Port of Loading,Actual,Any,leg1VesselImoNumber,—,Edge Case,leg1VesselImoNumber = null — no crash,If vessel details are missing the system should store null not crash
POL-25,Port of Loading,Leg 1 vessel is null when only 'vessel' qualifier present (no 'milestoneVessel'),container_loaded,Port of Loading,Actual,Any,leg1VesselImoNumber,—,Edge Case,leg1VesselImoNumber = null,Only milestoneVessel qualifier is used — regular 'vessel' qualifier is ignored
POL-26,Port of Loading,Leg 1 fields NOT written when no transhipment flag,container_loaded,Port of Loading,Actual,Any,leg1VesselImoNumber,—,Negative,leg1VesselImoNumber NOT updated,Vessel leg data only applies to transhipment routes — direct routes don't use leg fields
POL-27,Port of Loading,Leg 1 fields written even on estimated events with transhipment,container_loaded,Port of Loading,Estimated,Any,leg1VesselImoNumber + leg1VesselName + leg1Mot,resources + transport_mode,Positive,All leg1 fields written,Situation type does not gate vessel fields — only transhipment flag matters
POD-01,Port of Discharge,Estimated arrival at POD from carrier (ETA event),eta_event,Port of Discharge,Estimated,External (Carrier),estimatedArrivalPod,situation.date,Positive,estimatedArrivalPod = sent date,Records the carrier's estimated arrival date at the Port of Discharge
POD-02,Port of Discharge,Predicted arrival at POD from Shippeo (ETA event),eta_event,Port of Discharge,Estimated,Shippeo (Platform),predictedArrivalPod,situation.date,Positive,predictedArrivalPod = sent date,Records Shippeo's own prediction for vessel arrival at POD
POD-03,Port of Discharge,eta_event with 'actual' type does NOT write arrival fields,eta_event,Port of Discharge,Actual,Any,estimatedArrivalPod,—,Negative,estimatedArrivalPod NOT updated,ETA events are always estimated by nature — actual type is invalid here
POD-04,Port of Discharge,eta_event at wrong place type (Port of Loading) does NOT write POD fields,eta_event,Port of Loading,Estimated,External (Carrier),estimatedArrivalPod,—,Negative,estimatedArrivalPod NOT updated,Only discharge place_type triggers POD arrival mapping
POD-05,Port of Discharge,eta_event with null data_source does NOT write any arrival field,eta_event,Port of Discharge,Estimated,None / Null,estimatedArrivalPod,—,Negative,Neither estimated nor predicted updated,Data source must be explicitly external or shippeo
POD-06,Port of Discharge,Actual vessel arrival at POD recorded,container_arrived,Port of Discharge,Actual,Any,actualArrivalPod,situation.date,Positive,actualArrivalPod = sent date,Records when the vessel physically arrived at the Port of Discharge
POD-07,Port of Discharge,container_arrived at POL does NOT write actualArrivalPod,container_arrived,Port of Loading,Actual,Any,actualArrivalPod,—,Negative,actualArrivalPod NOT updated,Wrong place_type — arrival at POL goes to actualGateInPol not actualArrivalPod
POD-08,Port of Discharge,container_arrived at discharge with estimated type does NOT write actualArrivalPod,container_arrived,Port of Discharge,Estimated,Any,actualArrivalPod,—,Negative,actualArrivalPod NOT updated — only actual type maps to this field,Actual arrival field only accepts actual events
POD-09,Port of Discharge,Actual discharge at POD recorded,container_unloaded,Port of Discharge,Actual,Any,actualDischargePod,situation.date,Positive,actualDischargePod = sent date,Records when the container was physically unloaded from the vessel at POD
POD-10,Port of Discharge,Estimated discharge at POD (carrier estimate),container_unloaded,Port of Discharge,Estimated,External (Carrier),estimatedDischargePod,situation.date,Positive,estimatedDischargePod = sent date,Carrier's estimated date for container unloading at POD
POD-11,Port of Discharge,Predicted discharge at POD (Shippeo prediction),container_unloaded,Port of Discharge,Estimated,Shippeo (Platform),predictedDischargePod,situation.date,Positive,predictedDischargePod = sent date,Shippeo's predicted date for container discharge at POD
POD-12,Port of Discharge,All three discharge fields (actual/estimated/predicted) coexist on shipment,container_unloaded,Port of Discharge,Estimated,Shippeo (Platform),actualDischargePod + estimatedDischargePod + predictedDischargePod,—,Positive,All three fields independent — no overwrite,Each of the three discharge variants is stored in its own separate field
POD-13,Port of Discharge,container_unloaded at POL does NOT write any discharge field,container_unloaded,Port of Loading,Actual,Any,actualDischargePod,—,Negative,actualDischargePod NOT updated,Wrong place_type — unloading at POL doesn't map to discharge fields
POD-14,Port of Discharge,Actual gate-out at POD from container_gate_out_full,container_gate_out_full,Port of Discharge,Actual,Any,actualGateOutPod,situation.date,Positive,actualGateOutPod = sent date,Records when the container left the port terminal after discharge
POD-15,Port of Discharge,Actual gate-out at POD from container_gate_in_full,container_gate_in_full,Port of Discharge,Actual,Any,actualGateOutPod,situation.date,Positive,actualGateOutPod = sent date,Three different events all map to the same gate-out field at POD
POD-16,Port of Discharge,Actual gate-out at POD from container_departed,container_departed,Port of Discharge,Actual,Any,actualGateOutPod,situation.date,Positive,actualGateOutPod = sent date,Third event that maps to the POD gate-out field
POD-17,Port of Discharge,MOT at gate-out written from container_gate_out_full,container_gate_out_full,Port of Discharge,Actual,Any,motGateOutPod,situation.transport_mode,Positive,motGateOutPod = ocean,Mode of transport is recorded alongside the gate-out date
POD-18,Port of Discharge,MOT at gate-out also written from container_gate_in_full,container_gate_in_full,Port of Discharge,Actual,Any,motGateOutPod,situation.transport_mode,Positive,motGateOutPod = ocean,MOT written by all three gate-out events
POD-19,Port of Discharge,Estimated gate-out at POD from container_gate_out_full,container_gate_out_full,Port of Discharge,Estimated,External (Carrier),estimatedGateOutPod,situation.date,Positive,estimatedGateOutPod = sent date,Carrier's estimated gate-out date at POD
POD-20,Port of Discharge,Estimated gate-out at POD from container_gate_in_full,container_gate_in_full,Port of Discharge,Estimated,External (Carrier),estimatedGateOutPod,situation.date,Positive,estimatedGateOutPod = sent date,All three events also work for estimated gate-out
POD-21,Port of Discharge,Estimated gate-out at POD from container_departed,container_departed,Port of Discharge,Estimated,External (Carrier),estimatedGateOutPod,situation.date,Positive,estimatedGateOutPod = sent date,Third event for estimated gate-out at POD
POD-22,Port of Discharge,Predicted gate-out from container_gate_out_full (Shippeo only),container_gate_out_full,Port of Discharge,Estimated,Shippeo (Platform),predictedGateOutPod,situation.date,Positive,predictedGateOutPod = sent date,Only Shippeo predictions and only from gate_out_full event map to predicted gate-out
POD-23,Port of Discharge,container_gate_in_full with Shippeo source does NOT write predictedGateOutPod,container_gate_in_full,Port of Discharge,Estimated,Shippeo (Platform),predictedGateOutPod,—,Negative,predictedGateOutPod NOT updated,Only container_gate_out_full maps to predicted gate-out — not gate_in_full
POD-24,Port of Discharge,container_departed with Shippeo source does NOT write predictedGateOutPod,container_departed,Port of Discharge,Estimated,Shippeo (Platform),predictedGateOutPod,—,Negative,predictedGateOutPod NOT updated,Only container_gate_out_full maps to predicted gate-out — not departed
POD-25,Port of Discharge,Actual empty container return date recorded at POD,container_gate_in_empty,Port of Discharge,Actual,Any,actualEmptyReturn,situation.date,Positive,actualEmptyReturn = sent date,Records when the empty container was returned to the port after delivery
POD-26,Port of Discharge,MOT for empty return recorded at POD,container_gate_in_empty,Port of Discharge,Actual,Any,motEmptyReturn,situation.transport_mode,Positive,motEmptyReturn = ocean,Records how the empty container was returned
POD-27,Port of Discharge,Estimated empty return date recorded at POD,container_gate_in_empty,Port of Discharge,Estimated,External (Carrier),estimatedEmptyReturn,situation.date,Positive,estimatedEmptyReturn = sent date,Carrier's estimated date for empty container return
POD-28,Port of Discharge,MOT also written on estimated empty return at POD,container_gate_in_empty,Port of Discharge,Estimated,External (Carrier),motEmptyReturn,situation.transport_mode,Positive,motEmptyReturn = ocean,MOT is written on both actual and estimated empty return
POD-29,Port of Discharge,Empty return with Shippeo data source does NOT write estimated empty return,container_gate_in_empty,Port of Discharge,Estimated,Shippeo (Platform),estimatedEmptyReturn,—,Negative,estimatedEmptyReturn NOT updated,Shippeo-sourced events not mapped to empty return fields at POD
POD-30,Port of Discharge,container_gate_in_empty at origin depot does NOT write empty return at POD,container_gate_in_empty,Origin Depot,Actual,Any,actualEmptyReturn,—,Negative,actualEmptyReturn NOT updated,Wrong place_type — empty return at origin doesn't map to POD discharge fields
DEL-01,Delivery,Actual arrival at final destination recorded,container_arrived,Destination Depot,Actual,Any,actualArrivalDestination,situation.date,Positive,actualArrivalDestination = sent date,Records when the container arrived at the final delivery location (warehouse/customer)
DEL-02,Delivery,Destination city recorded at actual arrival,container_arrived,Destination Depot,Actual,Any,destinationCity,event_site.city,Positive,destinationCity = city of event,Records the city of the final delivery point
DEL-03,Delivery,Destination country recorded at actual arrival,container_arrived,Destination Depot,Actual,Any,destinationCountry,event_site.country,Positive,destinationCountry = country of event,Records the country of the final delivery point
DEL-04,Delivery,Estimated arrival at final destination recorded,container_arrived,Destination Depot,Estimated,External (Carrier),estimatedArrivalDestination,situation.date,Positive,estimatedArrivalDestination = sent date,Carrier's estimated delivery date at final destination
DEL-05,Delivery,Destination city also written on estimated arrival,container_arrived,Destination Depot,Estimated,External (Carrier),destinationCity,event_site.city,Positive,destinationCity = city of event,City is populated from both actual and estimated arrival events
DEL-06,Delivery,Destination country also written on estimated arrival,container_arrived,Destination Depot,Estimated,External (Carrier),destinationCountry,event_site.country,Positive,destinationCountry = country of event,Country is populated from both actual and estimated arrival events
DEL-07,Delivery,Estimated with Shippeo data source does NOT write delivery fields,container_arrived,Destination Depot,Estimated,Shippeo (Platform),estimatedArrivalDestination,—,Negative,estimatedArrivalDestination NOT updated,Shippeo-sourced events not mapped to delivery estimated fields
DEL-08,Delivery,container_arrived at POD does NOT write delivery fields,container_arrived,Port of Discharge,Actual,Any,actualArrivalDestination,—,Negative,actualArrivalDestination NOT updated,Wrong place_type — arrival at POD maps to actualArrivalPod not delivery
DEL-09,Delivery,Null city at destination does not crash — destinationCity stored as null,container_arrived,Destination Depot,Actual,Any,destinationCity,event_site.city,Edge Case,destinationCity = null — no crash,System handles missing city gracefully
DEL-10,Delivery,Null country at destination does not crash — destinationCountry stored as null,container_arrived,Destination Depot,Actual,Any,destinationCountry,event_site.country,Edge Case,destinationCountry = null — no crash,System handles missing country gracefully
DEL-11,Delivery,Actual empty return recorded at delivery location,container_gate_in_empty,Destination Depot,Actual,Any,actualEmptyReturn,situation.date,Positive,actualEmptyReturn = sent date,Records when the empty container was returned at the delivery end (same field as POD empty return)
DEL-12,Delivery,MOT for empty return at delivery location,container_gate_in_empty,Destination Depot,Actual,Any,motEmptyReturn,situation.transport_mode,Positive,motEmptyReturn = ocean,Mode of transport for empty return at delivery
DEL-13,Delivery,Estimated empty return at delivery location,container_gate_in_empty,Destination Depot,Estimated,External (Carrier),estimatedEmptyReturn,situation.date,Positive,estimatedEmptyReturn = sent date,Carrier's estimate for empty container return at delivery
DEL-14,Delivery,MOT also written on estimated empty return at delivery,container_gate_in_empty,Destination Depot,Estimated,External (Carrier),motEmptyReturn,situation.transport_mode,Positive,motEmptyReturn = ocean,MOT written on both actual and estimated at delivery
DEL-15,Delivery,Shippeo-sourced estimated at delivery does NOT write empty return,container_gate_in_empty,Destination Depot,Estimated,Shippeo (Platform),estimatedEmptyReturn,—,Negative,estimatedEmptyReturn NOT updated,Shippeo data source not mapped for delivery empty return
DEL-16,Delivery,actualEmptyReturn set at POD then updated again at delivery location — last value wins,container_gate_in_empty,Destination Depot,Actual,Any,actualEmptyReturn,situation.date,Edge Case,actualEmptyReturn = latest delivery date,Same field can be set from two stages — delivery event overwrites POD value
X-01,Cross-Field,Direct fields written regardless of situation.type,container_gate_out_empty,Origin Depot,Estimated,Any,carrierUpdatedLocodePol + carrierUpdatedLocodePod + datetime_timezone,loading_site + delivery_site + event_site,Positive,All three direct fields written,Type 1 direct fields always fire regardless of actual or estimated
X-02,Cross-Field,Direct fields written regardless of place_type,container_arrived,Port of Discharge,Actual,Any,carrierUpdatedLocodePol + carrierUpdatedLocodePod + datetime_timezone,loading_site + delivery_site + event_site,Positive,All three direct fields written,Type 1 direct fields always fire regardless of where in the journey
X-03,Cross-Field,Multiple events in sequence each add their own field without clearing others,container_gate_out_empty then container_departed then container_arrived,Multiple,Multiple,Multiple,Multiple fields,—,Positive,Each field holds its own value — no other fields cleared,Events are additive — sending one event should not clear fields set by previous events
X-04,Cross-Field,Same event sent twice with different dates — latest date overwrites previous,container_departed,Origin Depot,Actual,Any,actualDepartureFromOrigin,situation.date,Edge Case,actualDepartureFromOrigin = second (newer) date,Re-sending an event with a different date should update the field with the new value
X-05,Cross-Field,Same event sent twice with exact same date — field stays unchanged,container_departed,Origin Depot,Actual,Any,actualDepartureFromOrigin,situation.date,Edge Case,actualDepartureFromOrigin = unchanged (same value),Identical events are effectively idempotent
X-06,Cross-Field,actualEmptyReturn can be written from both POD and Delivery — last wins,container_gate_in_empty (discharge) then container_gate_in_empty (destination_inland),Both,Actual,Any,actualEmptyReturn,situation.date,Edge Case,actualEmptyReturn = value from delivery event (last sent),Two different place_types feed the same Logward field — most recent value is stored
X-07,Cross-Field,depotPreCountry overwritten when estimated event comes after actual with different country,container_gate_out_empty (actual) then container_gate_out_empty (estimated),Origin Depot,Both,External (Carrier),depotPreCountry,event_site.country,Edge Case,depotPreCountry = country from estimated event,Later events overwrite earlier ones regardless of actual vs estimated
