Test ID,Group,Test Name,trackingStatus,bookingNumber (BN),billOfLadingNumber (BL),containerNumber (CN),carrierScac (SCAC),Step 2 Update,Expected active,Expected valid,MongoDB Created,Shippeo Order Created,Test Type,Expected Result,Simple Explanation
S-15,active=1 valid=0,status=InProgress + BL + CN - no SCAC,In Progress,NOT PROVIDED,PROVIDED,PROVIDED,NOT PROVIDED,None,1,0,NO,NO,Negative,active=1 valid=0 - SCAC missing,Using BL as identifier but SCAC is still required
S-16,active=1 valid=0,status=InProgress + BL + SCAC - no CN,In Progress,NOT PROVIDED,PROVIDED,NOT PROVIDED,PROVIDED,None,1,0,NO,NO,Negative,active=1 valid=0 - containerNumber missing,Container number is missing - tracking cannot proceed without it
S-17,active=1 valid=0,status=InProgress only,In Progress,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,NOT PROVIDED,None,1,0,NO,NO,Negative,active=1 valid=0 - all tracking fields missing,Status alone satisfies ATC condition but all required fields are absent
S-18,Update to valid=1,CN + SCAC + InProgress - then add BN,In Progress,NOT PROVIDED (added later),NOT PROVIDED,PROVIDED,PROVIDED,Add BN via update,1,1,YES,YES,Update,After update: active=1 valid=1 - MongoDB created - Shippeo order created,Adding the missing identifier BN upgrades valid from 0 to 1 and triggers Shippeo order creation
S-19,Update to valid=1,CN + SCAC + InProgress - then add BL,In Progress,NOT PROVIDED,NOT PROVIDED (added later),PROVIDED,PROVIDED,Add BL via update,1,1,YES,YES,Update,After update: active=1 valid=1 - MongoDB created,Adding BL as the identifier flips valid to 1
S-20,Update to valid=1,CN + SCAC + InProgress - then add BN + BL,In Progress,NOT PROVIDED (added),NOT PROVIDED (added),PROVIDED,PROVIDED,Add BN and BL via update,1,1,YES,YES,Update,After update: active=1 valid=1 - MongoDB created,Adding both identifiers at once flips valid to 1
S-21,Update to valid=1,BN + CN + SCAC no status - then add InProgress,NOT SET (added later),PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,Add trackingStatus=InProgress,1,1,YES,YES,Update,After update: active=1 valid=1 - MongoDB created,Adding the missing status triggers ATC - both active and valid become 1 immediately
S-22,Update to valid=1,BN + CN + InProgress no SCAC - then add SCAC,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,NOT PROVIDED (added),Add carrierScac via update,1,1,YES,YES,Update,After update: active=1 valid=1 - MongoDB created,SCAC was the only missing field - adding it completes the required set
S-23,Update to valid=1,BN + SCAC + InProgress no CN - then add CN,In Progress,PROVIDED,NOT PROVIDED,NOT PROVIDED (added),PROVIDED,Add containerNumber via update,1,1,YES,YES,Update,After update: active=1 valid=1 - MongoDB created,Container number was the last missing field - adding it triggers Shippeo order creation
S-24,MongoDB Validation,uniqueReference format when BN used,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,doc.uniqueReference = bookingId_containerId e.g. E2EBOOK001_LGTE1234567,When BN is the identifier Shippeo concatenates bookingId with containerId as the unique reference
S-25,MongoDB Validation,uniqueReference format when only BL used,In Progress,NOT PROVIDED,PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,doc.uniqueReference = blId_containerId e.g. E2EBL001_LGTE1234567,When BL is used as identifier the format is blId_containerId
S-26,MongoDB Validation,uniqueReference when BN and BL both provided - BN takes priority,In Progress,PROVIDED,PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,doc.uniqueReference = bookingId_containerId - BN takes priority over BL,When both identifiers are present Shippeo uses BN as the primary identifier
S-27,MongoDB Validation,error field is boolean false not string,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,doc.error is exactly boolean false - not the string false,The error field must be the boolean false value - confirms Shippeo successfully registered the order
S-28,MongoDB Validation,serviceProvider equals SHIPPEO,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,doc.serviceProvider = SHIPPEO,Confirms the tracking document was created via the Shippeo integration
S-29,MongoDB Validation,events array is empty at creation,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,doc.events.length = 0,No events have been sent yet - the container just got registered in Shippeo
S-30,MongoDB Validation,identifier field shows which key Shippeo uses,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,doc.identifier = bookingId,Shippeo stores which field it used as the primary lookup key
S-31,Shippeo Search,Search by bookingId_containerId - shipment found,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,Shippeo returns shipment with matching reference,The shipment is searchable in Shippeo backoffice using the bookingId_containerId format
S-32,Shippeo Search,Search by blId_containerId - shipment found,In Progress,NOT PROVIDED,PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,Shippeo returns shipment with matching reference,The shipment is searchable using the blId_containerId format when BL was the primary identifier
S-33,Shippeo Search,Organisation matches expected Logward account,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,shipment.organization.name = Lidl_Test,Confirms the order was registered under the correct Logward customer account in Shippeo
S-34,Shippeo Search,Agency matches expected agency,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,shipment.agency.name = Lidl Ocean_Test,Confirms the order is under the correct agency in Shippeo
S-35,Shippeo Search,Transport mode is ocean,In Progress,PROVIDED,NOT PROVIDED,PROVIDED,PROVIDED,None,1,1,YES,YES,Positive,shipment.transportMode = ocean,Confirms the correct mode of transport was passed to Shippeo
S-36,Shippeo Search,Search with completely wrong reference - nothing found,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,NO,NO,Negative,Empty result - shipment not found,Searching with a fake reference should return no results
S-37,Shippeo Search,Search with expired Shippeo token,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,NO,NO,Negative,HTTP 401 - Token has expired,Shippeo tokens expire quickly - an expired token must be rejected with a clear error message
S-38,API Auth,Create with expired Logward admin token,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,NO,NO,Negative,HTTP 401 Unauthorized,Expired Cognito token must be rejected before any object is created
S-39,API Auth,Create with token from wrong account - no schema,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,NO,NO,Negative,HTTP 200 but response says No Schema defined for Account,Token belongs to an account that has no Ocean schema configured in Logward
S-40,API Auth,Create with completely empty body,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,NO,NO,Negative,HTTP 400 or validation error in response,An empty payload is not a valid create request
S-41,API Auth,Create with containerNumber field missing,In Progress,PROVIDED,NOT PROVIDED,NOT PROVIDED,PROVIDED,None,N/A,N/A,NO,NO,Negative,HTTP 400 or validation error - containerNumber is required,containerNumber is a required field for the TransportUnitOcean schema
S-42,API Auth,Scheduler check for non-existent object code,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,NO,NO,Negative,HTTP 404 or empty response from scheduler,Querying the scheduler for a code that does not exist should return a clear not-found response
S-43,API Auth,MongoDB check with all wrong identifiers,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,NO,NO,Negative,data = empty array - no document found,The tracking service should return an empty array when none of the identifiers match any document
